Rating;Rating Agency;Corporation;Year;Default Probability;Predicted Rating
BB-;Moody's Investors Service;Consolidated Communications, Inc.;2013;0.000000170170828;BB
BB+;Standard & Poor's Ratings Services;Constellation Brands Inc.;2013;0.000028593780260;BB
BB+;Standard & Poor's Ratings Services;Constellation Brands Inc.;2013;0.000064706024451;BB
BB+;Fitch Ratings;Constellation Brands, Inc.;2013;0.000000934706792;BB
B;Moody's Investors Service;Container Store Group, Inc. (The);2013;0.000000055833773;BBB
B-;Standard & Poor's Ratings Services;Container Store Inc. (The);2013;0.000005643019273;BBB
B;Standard & Poor's Ratings Services;Container Store Inc. (The);2013;0.000006155124047;BBB
BB+;Standard & Poor's Ratings Services;Controladora Mabe, S.A. de C.V.;2013;0.000044143908619;BB
CCC+;Moody's Investors Service;Cooper-Standard Holdings Inc.;2013;0.000000364290341;C
A;Standard & Poor's Ratings Services;Corning Inc.;2013;0.000767434547815;AAA
A-;Standard & Poor's Ratings Services;Corning Inc.;2013;0.000650322297249;AAA
A-;Moody's Investors Service;Corning Incorporated;2013;0.000122264553328;AAA
BB;Standard & Poor's Ratings Services;Crown Castle GS III Corp.;2013;0.000056920236111;BB
BB+;Standard & Poor's Ratings Services;Crown Castle GS III Corp.;2013;0.000061964363320;BB
A;Standard & Poor's Ratings Services;Cummins Inc.;2013;0.349786159925084;AAA
A;Fitch Ratings;Cummins Inc.;2013;0.001481561729525;AAA
A-;Moody's Investors Service;Cummins, Inc.;2013;0.000046616955471;AAA
B;Moody's Investors Service;Cumulus Media Inc.;2013;0.000000414181973;BBB
BB;Fitch Ratings;D. R. Horton, Inc.;2013;0.000000823150129;BB
BB;Fitch Ratings;D. R. Horton, Inc.;2013;0.000000673805427;BB
BBB-;Egan-Jones Ratings Company;D.R. HORTON, INC;2013;0.000013032966603;B
BBB;Egan-Jones Ratings Company;D.R. HORTON, INC;2013;0.000031892830746;B
BB-;Standard & Poor's Ratings Services;D.R. Horton Inc.;2013;0.000033216132853;BB
BB;Standard & Poor's Ratings Services;D.R. Horton Inc.;2013;0.000030910080576;BB
BB;Moody's Investors Service;D.R. Horton, Inc.;2013;0.000000524651677;BB
BB;Moody's Investors Service;D.R. Horton, Inc.;2013;0.000000489758853;BB
BBB+;Egan-Jones Ratings Company;DANA INCORPORATED;2013;0.000015288664044;B
BBB+;Egan-Jones Ratings Company;DANA INCORPORATED;2013;0.000013264143500;B
A+;Egan-Jones Ratings Company;DANAHER CORPORATION;2013;0.533854120962354;AA
AA-;Egan-Jones Ratings Company;DANAHER CORPORATION;2013;0.503282564730012;AA
BB+;Egan-Jones Ratings Company;DARDEN RESTAURANTS, INC;2013;0.000008500662150;BB
BB;Egan-Jones Ratings Company;DARDEN RESTAURANTS, INC;2013;0.000007503476682;BB
BB;Egan-Jones Ratings Company;DARDEN RESTAURANTS, INC;2013;0.000007875058231;BB
BB-;Egan-Jones Ratings Company;DAVITA INC.;2013;0.000023355366902;BB
BB-;Egan-Jones Ratings Company;DAVITA INC.;2013;0.000024890303605;BB
BB;Egan-Jones Ratings Company;DAVITA INC.;2013;0.000024295068274;BB
BBB-;Egan-Jones Ratings Company;DELTA AIR LINES, INC;2013;0.169944290747425;B
BBB-;Egan-Jones Ratings Company;DELUXE CORPORATION;2013;0.000022551211913;B
BBB;Egan-Jones Ratings Company;DELUXE CORPORATION;2013;0.000011934246025;B
BBB;Egan-Jones Ratings Company;DELUXE CORPORATION;2013;0.000016562596570;B
A-;Egan-Jones Ratings Company;DEVON ENERGY CORPORATION;2013;0.000083834882659;AAA
A-;Egan-Jones Ratings Company;DEVON ENERGY CORPORATION;2013;0.000092624739159;AAA
A-;Egan-Jones Ratings Company;DEVON ENERGY CORPORATION;2013;0.000058662641642;AAA
A-;Egan-Jones Ratings Company;DEVON ENERGY CORPORATION;2013;0.000062815519739;AAA
BBB+;Egan-Jones Ratings Company;DIAGEO PLC;2013;0.000080751614220;AAA
A+;Egan-Jones Ratings Company;DOVER CORPORATION;2013;0.000070895629686;AAA
A-;Egan-Jones Ratings Company;DTE ENERGY COMPANY;2013;0.502624844017798;AA
A+;Egan-Jones Ratings Company;DTE ENERGY COMPANY;2013;0.418456821330988;AAA
A-;Standard & Poor's Ratings Services;DTE Energy Center LLC;2013;0.000195307748481;AAA
A-;Standard & Poor's Ratings Services;DTE Energy Center LLC;2013;0.000272492708451;AAA
BB+;Moody's Investors Service;DTE Energy Center, LLC;2013;0.000001214070899;BB
BBB;Standard & Poor's Ratings Services;DTE Energy Co.;2013;0.000246877683612;AAA
BBB+;Moody's Investors Service;DTE Energy Company;2013;0.000008633675401;B
BBB+;Moody's Investors Service;DTE Energy Company;2013;0.000009024507269;B
A;Egan-Jones Ratings Company;DUKE ENERGY CORPORATION;2013;0.397041246379077;AAA
A;Egan-Jones Ratings Company;DUKE ENERGY CORPORATION;2013;0.453227784464228;AAA
AA-;Egan-Jones Ratings Company;DUKE ENERGY CORPORATION;2013;0.371182793075957;AAA
BB;Standard & Poor's Ratings Services;Dana Incorporated;2013;0.000127293790572;BB
BB;Standard & Poor's Ratings Services;Dana Incorporated;2013;0.000128641379957;BB
BBB-;Standard & Poor's Ratings Services;Darden Restaurants Inc.;2013;0.000020523665449;B
BBB-;Fitch Ratings;Darden Restaurants, Inc.;2013;0.000000085104803;B
BBB-;Moody's Investors Service;Darden Restaurants, Inc.;2013;0.000000143604099;B
BB;Moody's Investors Service;Darling Ingredients Inc.;2013;0.000003439982906;BB
B+;Moody's Investors Service;Darling Ingredients Inc.;2013;0.000002803995258;BB
BB;Standard & Poor's Ratings Services;Delta Air Lines Inc.;2013;0.000129475144304;BB
BB+;Standard & Poor's Ratings Services;Delta Air Lines Inc.;2013;0.000124072202625;BB
A;Standard & Poor's Ratings Services;Devon Energy Corp.;2013;0.000133656547256;B
BBB+;Standard & Poor's Ratings Services;Devon Energy Corp.;2013;0.000097918982918;B
BBB+;Moody's Investors Service;Devon Energy Corporation;2013;0.000000161107947;B
A-;Moody's Investors Service;Diageo PLC;2013;0.000000595186684;AAA
A;Standard & Poor's Ratings Services;Diageo PLC;2013;0.000127025628695;AAA
B+;Moody's Investors Service;DigitalGlobe, Inc.;2013;0.000001100066270;BBB
BB;Standard & Poor's Ratings Services;Douglas Dynamics LLC;2013;0.000128470262390;BB
A;Standard & Poor's Ratings Services;Dover Corp.;2013;0.391537234793671;AAA
A;Moody's Investors Service;Dover Corporation;2013;0.000004835142735;AAA
A;Fitch Ratings;Dover Corporation;2013;0.000001924584352;AAA
BBB;Moody's Investors Service;Duke Energy Corporation;2013;0.000028577398945;B
BBB-;Moody's Investors Service;Duke Energy Corporation;2013;0.000029161527445;B
BBB;Moody's Investors Service;Duke Energy Corporation;2013;0.000037620285023;B
BBB;Moody's Investors Service;Duke Energy Corporation;2013;0.000039961638883;B
BBB;Moody's Investors Service;Duke Energy Corporation;2013;0.000030615035455;B
BBB;Moody's Investors Service;Duke Energy Corporation;2013;0.000034432583484;B
BBB;Moody's Investors Service;Duke Energy Corporation;2013;0.000039664026152;B
BBB;Moody's Investors Service;Duke Energy Corporation;2013;0.000026325534873;B
BBB+;Moody's Investors Service;Duke Energy Corporation;2013;0.000032513104364;B
BBB+;Moody's Investors Service;Duke Energy Corporation;2013;0.000022852639223;B
BBB;Egan-Jones Ratings Company;EASTMAN CHEMICAL COMPANY;2013;0.000007085332565;B
BBB;Egan-Jones Ratings Company;EASTMAN CHEMICAL COMPANY;2013;0.000012134328240;B
A+;Egan-Jones Ratings Company;EBAY INC.;2013;0.150811953042690;AAA
A+;Egan-Jones Ratings Company;EBAY INC.;2013;0.147328333109629;AAA
BBB;Egan-Jones Ratings Company;ECOLAB INC.;2013;0.000005266785624;B
A-;Egan-Jones Ratings Company;EDISON INTERNATIONAL;2013;0.136370093157194;AAA
BBB-;Egan-Jones Ratings Company;EDISON INTERNATIONAL;2013;0.095569021274972;AAA
D;Egan-Jones Ratings Company;EDISON MISSION ENERGY;2013;0.000077636868337;D
AA-;Egan-Jones Ratings Company;ELI LILLY AND COMPANY;2013;0.412583468642082;AAA
AA-;Egan-Jones Ratings Company;ELI LILLY AND COMPANY;2013;0.415783014966839;AAA
A+;Egan-Jones Ratings Company;EMERSON ELECTRIC CO.;2013;0.000095062689872;AAA
A+;Egan-Jones Ratings Company;EMERSON ELECTRIC CO.;2013;0.000084945533016;AAA
BBB;Egan-Jones Ratings Company;ENERGIZER HOLDINGS INC;2013;0.000013662229775;B
BBB+;Egan-Jones Ratings Company;ENERGIZER HOLDINGS INC;2013;0.000011271257166;B
BBB+;Egan-Jones Ratings Company;ENTERGY CORPORATION;2013;0.000037487334569;AAA
BBB;Egan-Jones Ratings Company;ENTERGY CORPORATION;2013;0.000044270495294;AAA
BBB+;Egan-Jones Ratings Company;ENTERPRISE PRODUCTS PARTNERS;2013;0.000026147372221;AAA
BBB+;Egan-Jones Ratings Company;ENTERPRISE PRODUCTS PARTNERS;2013;0.000026116128284;AAA
A-;Egan-Jones Ratings Company;ENTERPRISE PRODUCTS PARTNERS;2013;0.000026614512079;AAA
A-;Egan-Jones Ratings Company;ENTERPRISE PRODUCTS PARTNERS;2013;0.000018333704255;AAA
A;Egan-Jones Ratings Company;EOG RESOURCES, INC;2013;0.000047389049622;AAA
A;Egan-Jones Ratings Company;EOG RESOURCES, INC;2013;0.000055821775390;AAA
A+;Egan-Jones Ratings Company;EOG RESOURCES, INC;2013;0.000063739104676;AAA
A;Standard & Poor's Ratings Services;EOG Resources Inc.;2013;0.000146352586329;AAA
BBB+;Egan-Jones Ratings Company;EQT CORPORATION;2013;0.000009889323527;B
BBB+;Egan-Jones Ratings Company;EQT CORPORATION;2013;0.000005711341058;B
BBB-;Moody's Investors Service;EQT Corporation;2013;0.000000023912394;B
BBB;Standard & Poor's Ratings Services;EQT Corporation;2013;0.000026549019363;B
A-;Egan-Jones Ratings Company;EQUIFAX INC;2013;0.000016432262886;AAA
A;Egan-Jones Ratings Company;EQUIFAX INC;2013;0.000015772025990;AAA
B+;Egan-Jones Ratings Company;EQUINIX, INC.;2013;0.000009667693346;BBB
B+;Egan-Jones Ratings Company;EQUINIX, INC.;2013;0.000007373625629;BBB
BBB;Egan-Jones Ratings Company;EXELON CORPORATION;2013;0.000040545995311;B
A-;Egan-Jones Ratings Company;EXELON CORPORATION;2013;0.000036631301247;B
A+;Egan-Jones Ratings Company;EXELON CORPORATION;2013;0.000030333500217;B
BBB+;Egan-Jones Ratings Company;EXPEDIA, INC.;2013;0.000056972963684;AAA
A-;Egan-Jones Ratings Company;EXPEDIA, INC.;2013;0.000057706353700;AAA
AA+;Egan-Jones Ratings Company;EXXON MOBIL CORPORATION;2013;0.999083717320523;AA
AA+;Egan-Jones Ratings Company;EXXON MOBIL CORPORATION;2013;0.999139054610612;AA
BBB;Standard & Poor's Ratings Services;Eastman Chemical Co.;2013;0.000053647064030;B
B+;Moody's Investors Service;Eastman Kodak Company;2013;0.000000122148498;BBB
BBB;Moody's Investors Service;Edison International;2013;0.000001779240800;B
BBB-;Standard & Poor's Ratings Services;Edison International;2013;0.000799256973946;AAA
BBB;Standard & Poor's Ratings Services;Edison International;2013;0.000662284141765;B
BB;Standard & Poor's Ratings Services;Eldorado Gold Corp.;2013;0.000070763824141;BB
AA-;Standard & Poor's Ratings Services;Eli Lilly & Co.;2013;0.627179043492194;AA
AA-;Standard & Poor's Ratings Services;Eli Lilly & Co.;2013;0.720798103515883;AA
BBB-;Moody's Investors Service;Embraer Overseas Limited;2013;0.000000038122322;B
A;Standard & Poor's Ratings Services;Emerson Electric Co.;2013;0.261701810068195;AAA
A;Standard & Poor's Ratings Services;Emerson Electric Co.;2013;0.261621415970575;AAA
BBB+;Moody's Investors Service;Enbridge Inc.;2013;0.000000275610767;B
BBB+;Moody's Investors Service;Enbridge Inc.;2013;0.000000264722076;B
BBB-;Moody's Investors Service;Endo Health Solutions Inc.;2013;0.000001008564704;B
B+;Moody's Investors Service;Endo Health Solutions Inc.;2013;0.000001745285271;BBB
BB-;Standard & Poor's Ratings Services;Endo International PLC;2013;0.000029039900266;BBB
B;Standard & Poor's Ratings Services;Endo International PLC;2013;0.000030773043571;BBB
BB;Standard & Poor's Ratings Services;EnerSys;2013;0.000031527789726;BB
BB;Standard & Poor's Ratings Services;EnerSys;2013;0.000029122385759;BB
BB;Moody's Investors Service;EnerSys;2013;0.000000213423875;BB
A;Standard & Poor's Ratings Services;Entergy Corp;2013;0.000117487978813;AAA
BBB+;Fitch Ratings;Enterprise Products Operating LLC;2013;0.000000061212990;B
A;Standard & Poor's Ratings Services;Enterprise Products Operating LLC;2013;0.000096453389977;B
BBB+;Moody's Investors Service;Enterprise Products Operating, LLC;2013;0.000000043512281;B
BBB+;Moody's Investors Service;Enterprise Products Operating, LLC;2013;0.000000047485991;B
B+;Standard & Poor's Ratings Services;Entravision Communications Corp.;2013;0.000102929488229;BB
B+;Standard & Poor's Ratings Services;Entravision Communications Corp.;2013;0.000104894494781;BB
A;Standard & Poor's Ratings Services;Equifax Inc.;2013;0.000218701752114;B
BB-;Moody's Investors Service;Equinix, Inc.;2013;0.000000211444166;BB
BBB-;Standard & Poor's Ratings Services;Exelon Corp.;2013;0.000080418542643;B
BBB;Moody's Investors Service;Exelon Corporation;2013;0.000000067764306;B
AAA;Standard & Poor's Ratings Services;Exxon Mobil Corp.;2013;0.068529600785184;A
A+;Egan-Jones Ratings Company;FEDEX CORPORATION;2013;0.701188375417245;AA
A+;Egan-Jones Ratings Company;FEDEX CORPORATION;2013;0.671860850210730;AA
B-;Egan-Jones Ratings Company;FERRO CORPORATION;2013;0.000006337011493;BBB
B-;Egan-Jones Ratings Company;FERRO CORPORATION;2013;0.000003609432644;BBB
A-;Egan-Jones Ratings Company;FISERV, INC.;2013;0.000014783527974;AAA
BBB+;Egan-Jones Ratings Company;FLOWSERVE CORPORATION;2013;0.000052553740025;AAA
A-;Egan-Jones Ratings Company;FLOWSERVE CORPORATION;2013;0.000053624580571;AAA
A+;Egan-Jones Ratings Company;FLUOR CORPORATION;2013;0.000017497221848;AAA
A+;Egan-Jones Ratings Company;FMC CORPORATION;2013;0.000064841653081;B
A+;Egan-Jones Ratings Company;FMC CORPORATION;2013;0.000066406542519;B
BBB+;Moody's Investors Service;FMC Corporation;2013;0.000000176101579;B
A;Standard & Poor's Ratings Services;FMC Technologies Inc.;2013;0.000051315136028;AAA
A-;Egan-Jones Ratings Company;FREEPORT-MCMORAN, INC;2013;0.000210605580287;AAA
A-;Egan-Jones Ratings Company;FREEPORT-MCMORAN, INC;2013;0.000201333760020;AAA
BB;Standard & Poor's Ratings Services;FTI Consulting Inc.;2013;0.000053468596399;BB
BB;Standard & Poor's Ratings Services;FTI Consulting Inc.;2013;0.000046717152223;BB
B;Moody's Investors Service;FairPoint Communications, Inc.;2013;0.000000079704820;BBB
BBB;Standard & Poor's Ratings Services;FedEx Corp.;2013;0.000267903151918;B
BBB;Standard & Poor's Ratings Services;FedEx Corp.;2013;0.000578414247252;B
BBB;Standard & Poor's Ratings Services;FedEx Corp.;2013;0.000462496672877;B
B-;Standard & Poor's Ratings Services;Ferro Corp.;2013;0.000014356766355;BBB
B;Standard & Poor's Ratings Services;Ferro Corp.;2013;0.000013018182442;BBB
B;Standard & Poor's Ratings Services;Ferro Corp.;2013;0.000020226801211;BBB
BBB-;Standard & Poor's Ratings Services;Fidelity National Information Services Inc.;2013;0.000026019218311;B
BBB-;Moody's Investors Service;Fidelity National Information Services, Inc.;2013;0.000000095301599;B
BBB-;Moody's Investors Service;Fidelity National Information Services, Inc.;2013;0.000000072721898;B
BBB-;Standard & Poor's Ratings Services;Fiserv Inc.;2013;0.000034168195553;B
BB+;Moody's Investors Service;Flex Ltd.;2013;0.000000384043666;BB
BBB-;Fitch Ratings;Flex Ltd.;2013;0.000000060248501;B
BB+;Standard & Poor's Ratings Services;Flex Ltd.;2013;0.000059333791942;BB
BBB;Fitch Ratings;Flowers Foods, Inc.;2013;0.000000435945994;B
BBB-;Standard & Poor's Ratings Services;Flowserve Corp.;2013;0.000085932130727;B
BBB;Moody's Investors Service;Flowserve Corporation;2013;0.000000907322807;B
BBB;Moody's Investors Service;Flowserve Corporation;2013;0.000000854421818;B
A-;Standard & Poor's Ratings Services;Fluor Corp.;2013;0.000061125571517;AAA
BB-;Moody's Investors Service;Forum Energy Technologies, Inc.;2013;0.000000341590705;BB
BB;Standard & Poor's Ratings Services;Forum Energy Technologies, Inc.;2013;0.000050847822666;BB
BBB-;Moody's Investors Service;Freeport-McMoRan Inc.;2013;0.000000744641823;B
BBB;Fitch Ratings;Freeport-McMoRan Inc.;2013;0.000000259181968;B
B;Standard & Poor's Ratings Services;Freeport-McMoRan Oil & Gas LLC;2013;0.000181079531924;BBB
BBB;Fitch Ratings;Freeport-McMoRan Oil & Gas LLC;2013;0.000000089591464;B
BBB;Standard & Poor's Ratings Services;Freeport-McMoRan Oil & Gas LLC;2013;0.000133622910203;B
BBB-;Fitch Ratings;Fresenius Medical Care AG & Co. KGaA;2013;0.000000195815803;B
BBB+;Egan-Jones Ratings Company;GAP, INC;2013;0.000097097190889;B
BBB+;Egan-Jones Ratings Company;GAP, INC;2013;0.000056757365570;B
BBB+;Egan-Jones Ratings Company;GAP, INC;2013;0.000066111794913;B
BB;Egan-Jones Ratings Company;GENERAL CABLE CORPORATION;2013;0.000050513998144;BB
BB-;Egan-Jones Ratings Company;GENERAL CABLE CORPORATION;2013;0.000045421505525;BB
BBB+;Egan-Jones Ratings Company;GENERAL MILLS, INC;2013;0.000049650808829;AAA
A-;Egan-Jones Ratings Company;GENERAL MILLS, INC;2013;0.000030187113653;B
A+;Egan-Jones Ratings Company;GILEAD SCIENCES, INC;2013;0.600534920274362;AA
A+;Egan-Jones Ratings Company;GILEAD SCIENCES, INC;2013;0.632480329739831;AA
BBB+;Egan-Jones Ratings Company;GLAXOSMITHKLINE PLC;2013;0.000250863939253;AAA
A-;Egan-Jones Ratings Company;GLAXOSMITHKLINE PLC;2013;0.000229958814205;AAA
BBB-;Standard & Poor's Ratings Services;Gap Inc. (The);2013;0.000090225534982;B
B-;Moody's Investors Service;General Cable Corporation;2013;0.000069917533942;BBB
BBB+;Standard & Poor's Ratings Services;General Mills Inc.;2013;0.000139759614202;B
A;Standard & Poor's Ratings Services;General Mills Inc.;2013;0.000098412495869;B
BBB+;Fitch Ratings;General Mills, Inc.;2013;0.000000031556567;B
BBB;Standard & Poor's Ratings Services;Gilead Sciences, Inc.;2013;0.003111001025597;AAA
BB+;Standard & Poor's Ratings Services;Glatfelter (P.H.) Co.;2013;0.000039923768984;BB
AA;Standard & Poor's Ratings Services;GlaxoSmithKline Capital Inc.;2013;0.951524265304728;AA
A+;Moody's Investors Service;GlaxoSmithKline Capital Inc.;2013;0.087682328248891;AAA
A+;Moody's Investors Service;GlaxoSmithKline plc;2013;0.000010660249772;AAA
AA-;Japan Credit Rating Agency,Ltd.;Global One Real Estate Investment Corporation;2013;0.996367880057769;AA
B+;Standard & Poor's Ratings Services;Global Ship Lease, Inc.;2013;0.000064112042328;BBB
CCC+;Moody's Investors Service;Gray Television, Inc.;2013;0.000002421313535;C
B;Standard & Poor's Ratings Services;Great Lakes Dredge & Dock Corp.;2013;0.000014082020266;BBB
B-;Standard & Poor's Ratings Services;Great Lakes Dredge & Dock Corp.;2013;0.000011364716222;BBB
CCC+;Moody's Investors Service;Great Lakes Dredge & Dock Corporation;2013;0.000001013869684;BBB
B-;Standard & Poor's Ratings Services;Greenbrier Companies Inc. (The);2013;0.000150064202359;C
BB;Standard & Poor's Ratings Services;Greif Inc.;2013;0.000021283841563;BB
BB-;Standard & Poor's Ratings Services;Greif Inc.;2013;0.000021567847292;BB
BB+;Standard & Poor's Ratings Services;Griffon Corp.;2013;0.000053934485035;BB
BB+;Moody's Investors Service;Grifols S.A.;2013;0.000002566910243;BB
B+;Standard & Poor's Ratings Services;Group 1 Automotive Inc.;2013;0.000040507465301;BB
BB-;Standard & Poor's Ratings Services;Group 1 Automotive Inc.;2013;0.000038797329440;BB
B+;Standard & Poor's Ratings Services;H&E Equipment Services Inc.;2013;0.000042862239765;BBB
A-;Egan-Jones Ratings Company;H&R BLOCK, INC;2013;0.000088130459735;AAA
A-;Egan-Jones Ratings Company;H&R BLOCK, INC;2013;0.000071587793289;AAA
AA+;Egan-Jones Ratings Company;HALLIBURTON COMPANY;2013;0.620549939002783;AA
AA+;Egan-Jones Ratings Company;HALLIBURTON COMPANY;2013;0.614077214982007;AA
BB;Egan-Jones Ratings Company;HANESBRANDS INC.;2013;0.000023045506619;BB
BB;Egan-Jones Ratings Company;HANESBRANDS INC.;2013;0.000021714964512;BB
A;Egan-Jones Ratings Company;HARLEY-DAVIDSON, INC;2013;0.333224375134647;AAA
A;Egan-Jones Ratings Company;HARLEY-DAVIDSON, INC;2013;0.389458754293796;AAA
AA-;Egan-Jones Ratings Company;HARLEY-DAVIDSON, INC;2013;0.318263018585738;AAA
BB+;Egan-Jones Ratings Company;HARSCO CORPORATION;2013;0.000018306963194;BB
BB+;Egan-Jones Ratings Company;HARSCO CORPORATION;2013;0.000016735393824;BB
BBB-;Egan-Jones Ratings Company;HASBRO, INC;2013;0.000039069836300;B
BBB-;Egan-Jones Ratings Company;HASBRO, INC;2013;0.000042520325173;B
B+;Egan-Jones Ratings Company;HCA HEALTHCARE INC;2013;0.000066859348990;BBB
B+;Egan-Jones Ratings Company;HCA HEALTHCARE INC;2013;0.000090877632971;BBB
B+;Egan-Jones Ratings Company;HCA HEALTHCARE INC;2013;0.000068811164398;BBB
B-;Standard & Poor's Ratings Services;HCA Healthcare, Inc.;2013;0.000077236520611;BBB
A+;Egan-Jones Ratings Company;HERSHEY COMPANY;2013;0.000121195223308;AAA
A+;Egan-Jones Ratings Company;HERSHEY COMPANY;2013;0.000102973633708;AAA
A-;Egan-Jones Ratings Company;HESS CORPORATION;2013;0.000021943627797;AAA
A-;Egan-Jones Ratings Company;HESS CORPORATION;2013;0.000021490930386;AAA
A+;Egan-Jones Ratings Company;HONEYWELL INTERNATIONAL INC;2013;0.825630887128654;AA
AA-;Egan-Jones Ratings Company;HONEYWELL INTERNATIONAL INC;2013;0.864564099398552;AA
A+;Egan-Jones Ratings Company;HORMEL FOODS CORPORATION;2013;0.917143099087733;AA
AA-;Egan-Jones Ratings Company;HORMEL FOODS CORPORATION;2013;0.898954422433056;AA
AA-;Egan-Jones Ratings Company;HORMEL FOODS CORPORATION;2013;0.885212746725279;AA
CCC;Egan-Jones Ratings Company;HOVNANIAN ENTERPRISES, INC;2013;0.000001209307567;C
CCC;Egan-Jones Ratings Company;HOVNANIAN ENTERPRISES, INC;2013;0.000001336388851;C
A;Moody's Investors Service;Halliburton Company;2013;0.000087740449004;AAA
BBB-;Standard & Poor's Ratings Services;Harsco Corp.;2013;0.000079628171505;B
BB+;Standard & Poor's Ratings Services;Harsco Corp.;2013;0.000092356854226;BB
BB+;Moody's Investors Service;Harsco Corporation;2013;0.000000758749200;BB
BBB+;Standard & Poor's Ratings Services;Hasbro Inc.;2013;0.000126519847523;B
BBB-;Standard & Poor's Ratings Services;Hasbro Inc.;2013;0.000121772282679;B
AA;Standard & Poor's Ratings Services;Hershey Company (The);2013;0.655390262238822;AA
A;Moody's Investors Service;Hershey Company (The);2013;0.009088274683268;AAA
A+;Moody's Investors Service;Hershey Company (The);2013;0.007730867622233;AAA
AA;Standard & Poor's Ratings Services;Hershey Company (The);2013;0.639760890895069;AA
BB-;Standard & Poor's Ratings Services;Holly Energy Partners LP;2013;0.000071609403683;BB
A;Standard & Poor's Ratings Services;Honeywell International Inc.;2013;0.762648069603366;AA
AA;Standard & Poor's Ratings Services;Honeywell International Inc.;2013;0.790780972562705;AA
A;Standard & Poor's Ratings Services;Honeywell International Inc.;2013;0.726374582249915;AA
A;Standard & Poor's Ratings Services;Hormel Foods Corp.;2013;0.000345096259705;AAA
CCC;Moody's Investors Service;Hovnanian Enterprises, Inc.;2013;0.000000041355863;C
CCC+;Fitch Ratings;Hovnanian Enterprises, Inc.;2013;0.000003905625820;C
CCC;Moody's Investors Service;Hub International Limited;2013;0.000000789642533;C
B-;Moody's Investors Service;HudBay Minerals, Inc.;2013;0.000006264966980;BBB
BBB+;Standard & Poor's Ratings Services;Hunt (J.B.) Transport Services Inc.;2013;0.000083224515688;B
BB-;Standard & Poor's Ratings Services;Huntsman International LLC;2013;0.000088764161256;BBB
B+;Standard & Poor's Ratings Services;Huntsman International LLC;2013;0.000073441182478;BBB
A;Standard & Poor's Ratings Services;IDACORP Inc.;2013;0.000168547029059;AAA
A-;Egan-Jones Ratings Company;IDACORP, INC;2013;0.415571485361003;AAA
A+;Egan-Jones Ratings Company;IDACORP, INC;2013;0.475671378360510;AAA
BBB+;Egan-Jones Ratings Company;IDEX CORPORATION;2013;0.000078315551699;AAA
BBB+;Egan-Jones Ratings Company;IDEX CORPORATION;2013;0.000070769792805;AAA
BBB;Standard & Poor's Ratings Services;IDEX Corp.;2013;0.000090072559576;B
AA-;Egan-Jones Ratings Company;ILLINOIS TOOL WORKS INC;2013;0.207609255356208;AAA
AA-;Egan-Jones Ratings Company;ILLINOIS TOOL WORKS INC;2013;0.205336475278217;AAA
A+;Egan-Jones Ratings Company;ILLINOIS TOOL WORKS INC;2013;0.157263714402264;AAA
BBB+;Egan-Jones Ratings Company;INGREDION INCORPORATED;2013;0.000042356580616;AAA
A-;Egan-Jones Ratings Company;INGREDION INCORPORATED;2013;0.000034525334894;AAA
AA-;Egan-Jones Ratings Company;INTEL CORPORATION;2013;0.206766013775961;AAA
AA-;Egan-Jones Ratings Company;INTEL CORPORATION;2013;0.185366332036497;AAA
A;Egan-Jones Ratings Company;INTERDIGITAL, INC;2013;0.000061617352884;AAA
A+;Egan-Jones Ratings Company;INTERDIGITAL, INC;2013;0.000068645910464;AAA
BBB;Egan-Jones Ratings Company;INTERPUBLIC GROUP OF;2013;0.000004125329706;B
BBB;Egan-Jones Ratings Company;INTERPUBLIC GROUP OF;2013;0.000002657542096;B
BB+;Egan-Jones Ratings Company;IRON MOUNTAIN, INC;2013;0.000025708916000;BB
BBB-;Egan-Jones Ratings Company;IRON MOUNTAIN, INC;2013;0.000017356983526;B
A+;Standard & Poor's Ratings Services;Illinois Tool Works Inc.;2013;0.278555367618224;AAA
AA+;HR Ratings de Mexico S.A. de C.V.;Industrias Bachoco, S.A.B. de C.V.;2013;0.838350890591564;AA
B+;Moody's Investors Service;Information Resources, Inc.;2013;0.000000168501693;BBB
B+;Standard & Poor's Ratings Services;Information Resources, Inc.;2013;0.000048168769688;BBB
B;Moody's Investors Service;Information Resources, Inc.;2013;0.000000201545361;BBB
BB-;Standard & Poor's Ratings Services;Ingles Markets Inc.;2013;0.000048149497516;BB
BBB;Standard & Poor's Ratings Services;Ingredion Incorporated;2013;0.000074612641241;B
A;Standard & Poor's Ratings Services;Intel Corp.;2013;0.000384166449659;AAA
BBB+;Egan-Jones Ratings Company;JABIL INC;2013;0.000014732896353;B
BBB+;Egan-Jones Ratings Company;JABIL INC;2013;0.000004157485923;B
B+;Egan-Jones Ratings Company;JETBLUE AIRWAYS CORPORATION;2013;0.000050213889677;BB
BB-;Egan-Jones Ratings Company;JETBLUE AIRWAYS CORPORATION;2013;0.000049340854860;BB
AA+;Egan-Jones Ratings Company;JOHNSON & JOHNSON;2013;0.998695945431540;AA
AA+;Egan-Jones Ratings Company;JOHNSON & JOHNSON;2013;0.998719388030023;AA
BBB+;Egan-Jones Ratings Company;JOHNSON CONTROLS INTERNATIONAL;2013;0.439423560096278;AAA
A-;Egan-Jones Ratings Company;JOHNSON CONTROLS INTERNATIONAL;2013;0.293024180703167;AAA
